filename,url
Bestbuy_DB301CCY_Ninja BlendBOSS_US,https://www.bestbuy.com/product/ninja-blendboss-tumbler-blender-with-26oz-travel-tumbler-cyberspace/JXJVXL2WKP
Bestbuy_AS101CY_Ninja Crispi Pro 6-in-1 Glass Countertop Air Fryer_US,https://www.bestbuy.com/product/ninja-crispi-pro-6-in-1-countertop-glass-air-fryer-cyberspace/JXJVXLX243
Bestbuy_OF101BK_Ninja Fireside360 Fire Pit_US,https://www.bestbuy.com/product/ninja-fireside360-outdoor-heater-fire-pit-black/JXJVXL28XC
